,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,
CBS.A   ,0,0,0,0,0,48.9978,49.1569,49.1569,49.1569,49.1569,49.1592,49.1625,49.1625,49.1625,49.1625,49.1625,
CBSH    ,0,0,0,0,0,61.0981,59.8705,59.9952,59.5307,59.2887,59.4958,59.1818,59.4614,59.4614,59.4614,59.4614,
CBSHP   ,0,0,0,0,0,25.87,25.87,25.87,25.87,25.87,25.7397,25.7385,25.7388,25.7388,25.7388,25.7388,
CBT     ,0,0,0,0,0,37.4064,44.9688,46.4878,46.8131,46.8933,46.9826,47.0165,47.0165,47.0165,47.0165,47.0165,
CBTX    ,0,0,0,0,0,31.6925,31.7818,31.7938,31.7938,31.8696,31.8829,30.5848,31.0221,31.0221,31.0221,31.0221,
CBU     ,0,0,0,0,0,57.2479,59.5779,59.9173,60.0763,60.126,60.2027,60.0486,60.0486,60.0486,60.0486,60.0486,
CBX     ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CBZ     ,0,0,0,0,0,19.5073,19.5536,19.5402,19.2745,19.3142,19.4371,18.4813,18.4813,18.4813,18.4813,18.4813,
CC      ,0,0,0,0,0,32.4621,34.1273,34.6939,34.8263,34.8016,34.9348,35.0226,35.0226,35.0226,35.0226,35.0226,
CCA     ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CCB     ,0,0,0,0,0,15.3475,15.3475,15.3475,15.3475,15.3475,15.3475,15.3244,14.9093,14.9093,14.9093,14.9093,
CCBG    ,0,0,0,0,0,23.4471,23.4618,23.5046,23.5467,23.5637,23.7335,23.5918,23.7683,23.7683,23.7683,23.7683,
CCC     ,0,0,0,0,0,10.3612,10.36,10.3657,10.3658,10.3711,10.3674,10.3667,10.3667,10.3667,10.3667,10.3667,
CCC+    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CCC=    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CCCL    ,0,0,0,0,0,1.87786,1.88793,1.88464,1.88412,1.8829,1.88116,1.87691,1.87691,1.87691,1.87691,1.87691,
CCD     ,0,0,0,0,0,19.1786,19.1765,19.2055,19.2189,19.2998,19.3177,18.9471,18.9479,18.9479,18.9479,18.9479,
CCEP    ,0,0,0,0,0,41.3972,43.582,44.3043,44.0967,44.1233,44.1585,43.9201,43.9201,43.9201,43.9201,43.9201,
CCF     ,0,0,0,0,0,96.751,96.492,86.1186,86.3768,88.3029,89.5352,92.9396,92.9396,92.9396,92.9396,92.9396,
CCH     ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CCH+    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CCH=    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CCI     ,0,0,0,0,0,113.577,113.537,113.016,113.412,113.605,113.822,113.886,113.886,113.886,113.886,113.886,
CCI-A   ,0,0,0,0,0,1089.33,1089.12,1089.19,1089.21,1089.06,1089.4,1089.26,1089.26,1089.26,1089.26,1089.26,
CCIH    ,0,0,0,0,0,1.14,1.14,1.16857,1.17265,1.17211,1.17662,1.17639,1.17488,1.17488,1.17488,1.17488,
CCJ     ,0,0,0,0,0,10.3222,10.5265,10.5619,10.6089,10.4774,10.5988,10.6383,10.6383,10.6383,10.6383,10.6383,
CCK     ,0,0,0,0,0,47.1734,47.1169,47.8562,48.0658,47.8764,47.8323,48.1217,48.1217,48.1217,48.1217,48.1217,
CCL     ,0,56.37,56.5276,56.5452,51.0535,53.8045,54.2979,54.4151,54.6313,54.5345,54.555,54.4178,54.4178,54.4178,54.4178,54.4178,
CCLP    ,0,0,0,0,0,2.6,2.57247,2.56048,2.5631,2.49873,2.53295,2.56884,2.56884,2.56884,2.56884,2.56884,
CCM     ,0,0,0,0,0,0,0,3.13007,3.13007,3.13007,3.13007,3.09009,3.09009,3.09009,3.09009,3.09009,
CCMP    ,0,0,0,0,0,96.9204,97.1798,97.3854,97.4624,97.8168,97.117,94.7403,96.9975,96.9975,96.9975,96.9975,
CCNE    ,0,0,0,0,0,25.6589,25.6589,25.6608,25.5335,25.5183,25.5352,25.563,25.6477,25.6477,25.6477,25.6477,
CCNI    ,0,0,0,0,0,3.92019,3.92019,3.92019,3.92019,3.92019,3.92019,3.92019,3.92019,3.92019,3.92019,3.92019,
CCO     ,0,0,0,0,0,0,5.43597,4.05082,4.71061,4.75145,4.7277,4.57093,4.57093,4.57093,4.57093,4.57093,
CCOI    ,0,0,0,0,0,45.1671,45.1674,45.2922,44.9776,44.8212,44.4895,43.9505,44.9135,44.9135,44.9135,44.9135,
CCOR    ,0,0,0,0,0,0,0,0,26.295,26.295,26.295,26.295,26.295,26.295,26.295,26.295,
CCR     ,0,0,0,0,0,0,0,18.305,18.305,18.305,18.305,18.3646,18.3646,18.3646,18.3646,18.3646,
CCRC    ,0,0,0,0,0,11.36,11.2416,11.2528,11.2562,11.2562,11.2567,11.2583,11.2583,11.2583,11.2583,11.2583,
CCRN    ,0,0,0,0,0,9.39451,8.8613,8.96493,9.11541,9.15674,9.1996,9.08112,9.26909,9.26909,9.26909,9.26909,
CCS     ,0,0,0,0,0,22.1678,22.1614,21.2598,21.1635,21.2658,21.5458,21.5704,21.5704,21.5704,21.5704,21.5704,
CCU     ,0,0,0,0,0,27.5829,26.0214,25.6585,25.6864,25.8563,25.8004,26.0267,26.0267,26.0267,26.0267,26.0267,
CCXI    ,0,0,0,0,0,11.3782,10.1253,10.5912,10.8623,10.8679,10.7875,10.5504,10.8667,10.8667,10.8667,10.8667,
CCZ     ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CDAY    ,0,0,0,0,0,39.0554,38.7687,38.8678,38.5878,37.837,38.2601,38.5139,38.5139,38.5139,38.5139,38.5139,
CDC     ,0,0,0,0,0,43.0097,43.0097,43.0131,43.0131,43.0152,43.0294,43.0294,43.0293,43.0293,43.0293,43.0293,
CDE     ,0,0,0,0,0,4.19803,4.38264,4.42415,4.37169,4.43046,4.4762,4.36715,4.36715,4.36715,4.36715,4.36715,
CDEV    ,0,0,0,0,0,12.7557,12.6129,12.5462,12.6354,12.4251,12.3056,12.4257,12.675,12.675,12.675,12.675,
CDK     ,0,0,0,0,0,48.3843,48.2201,48.1911,48.1869,48.1164,47.8157,47.5878,47.6907,47.6907,47.6907,47.6907,
CDL     ,0,0,0,0,0,43.87,43.8081,43.8081,43.8081,43.8081,43.8081,43.8081,43.8081,43.8081,43.8081,43.8081,
CDLX    ,0,0,0,0,0,17.6824,17.7332,17.5599,17.4863,17.1701,17.0591,16.892,16.9325,16.9325,16.9325,16.9325,
CDMO    ,0,0,0,0,0,3.63067,3.67595,3.6723,3.67375,3.67462,3.68141,3.6488,3.69383,3.69383,3.69383,3.69383,
CDMOP   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CDNA    ,0,0,0,0,0,26.7265,26.4016,26.413,26.393,26.3264,26.2362,26.0509,26.5207,26.5207,26.5207,26.5207,
CDNS    ,0,0,0,0,0,45.9026,45.4383,45.3723,45.2695,45.2504,45.3567,45.4011,45.7743,45.7746,45.7747,45.7747,
CDOR    ,0,0,0,0,0,0,0,0,0,0,8.21,8.21537,8.21537,8.21537,8.21537,8.21537,
CDR     ,0,0,0,0,0,3.14622,3.27716,3.34856,3.39466,3.43119,3.25306,3.11572,3.11572,3.11572,3.11572,3.11572,
CDR-B   ,0,0,0,0,0,0,24.82,24.4563,24.4778,24.4778,24.6537,24.7332,24.7332,24.7332,24.7332,24.7332,
CDR-C   ,0,0,0,0,0,0,0,0,0,0,19.5578,19.5667,19.5667,19.5667,19.5667,19.5667,
CDTX    ,0,0,0,0,0,2.82,2.83395,2.83375,2.86462,2.86453,2.85411,2.8538,2.85354,2.85354,2.85354,2.85354,
CDW     ,0,0,0,0,0,80.8503,79.3803,79.4306,79.6989,79.8756,79.8405,79.743,80.3308,80.3308,80.3308,80.3308,
CDXC    ,0,0,0,0,0,3.26997,3.26693,3.18667,3.13394,3.04143,3.04896,3.05802,3.17167,3.17167,3.17316,3.17316,
CDXS    ,0,0,0,0,0,16.9027,17.1498,17.1646,17.1906,17.1906,17.1932,17.1056,17.2089,17.2089,17.2089,17.2089,
CDZI    ,0,0,0,0,0,10.1046,9.68114,8.74095,8.68039,8.64702,9.32701,9.13302,9.51907,9.51907,9.51907,9.51907,
CE      ,0,0,0,0,0,95.8032,93.5719,93.5051,93.9031,94.1461,94.8836,95.2689,95.2689,95.2689,95.2689,95.2689,
CEA     ,0,0,0,0,0,30.819,30.8192,30.8192,30.8192,30.8185,30.8164,30.8165,30.8165,30.8165,30.8165,30.8165,
CECE    ,0,0,0,0,0,6.62646,5.92912,6.07473,5.95491,5.98378,6.13627,6.00628,6.44616,6.44616,6.44616,6.44616,
CECO    ,0,0,0,0,0,12.5505,12.4289,12.485,12.3051,12.3493,12.2525,11.2684,11.8048,11.8048,11.8048,11.8048,
CEE     ,0,0,0,0,0,0,0,0,0,0,24.502,24.502,24.502,24.502,24.502,24.502,
CEF     ,0,0,0,0,12.89,12.3757,12.3755,12.1588,12.0548,11.1807,11.1159,10.5758,10.5758,10.5758,10.5758,10.5758,
CEFL    ,0,0,0,0,0,13.5933,13.397,13.4021,13.4027,13.43,13.6905,11.5667,11.5667,11.5667,11.5667,11.5667,
CEFS    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CEI     ,0,0,0,0,0,0.474211,0.464274,0.464292,0.463967,0.464009,0.464924,0.465929,0.466045,0.466078,0.466078,0.466078,
CEIX    ,0,0,0,0,0,34.6613,34.8455,34.8813,34.884,34.4633,34.0709,33.8665,33.8665,33.8665,33.8665,33.8665,
CEL     ,0,0,0,0,0,0,0,0,0,5.07,5.07,5.0795,5.0795,5.0795,5.0795,5.0795,
CELC    ,0,0,0,0,0,22.181,21.8835,21.8821,21.8821,21.8822,21.8822,21.9005,22.1003,22.1003,22.1003,22.1003,
CELG    ,0,0,0,0,0,85.4321,85.3542,85.2142,84.8008,84.6659,84.5597,84.6566,85.77,85.77,85.77,85.7704,
CELGZ   ,0,0,0,0,0,0,0.833333,0.901792,0.908152,0.908152,0.910464,0.910464,0.910464,0.910464,0.910464,0.910464,
CELH    ,0,0,0,0,0,3.70524,3.69845,3.6985,3.72828,3.76939,3.76976,3.7233,3.75937,3.75937,3.75937,3.75937,
CELP    ,0,0,0,0,0,0,0,0,7.78429,7.78429,7.78429,7.78429,7.78429,7.78429,7.78429,7.78429,
CEM     ,0,0,0,0,0,12.2156,11.8998,11.5476,11.1315,11.1457,11.2242,11.242,11.242,11.242,11.242,11.242,
CEMB    ,0,0,0,0,0,48.8634,48.8634,48.8646,48.8661,48.8661,48.9621,48.9621,48.9621,48.9621,48.9621,48.9621,
CEMI    ,0,0,0,0,0,7,6.99969,7.00016,6.99916,6.99908,6.99851,6.99374,6.99569,6.99569,6.99569,6.99569,
CEN     ,0,0,0,0,0,8.0802,7.36067,7.3937,7.73371,7.83961,7.84744,7.79499,7.79499,7.79499,7.79499,7.79499,
CENT    ,0,0,0,0,0,38.9477,38.9479,38.9299,38.9234,38.9458,39.0304,38.6838,39.0176,39.0176,39.0176,39.0176,
CENTA   ,0,0,0,0,0,35.1148,35.1095,34.7929,34.9231,34.8061,34.8076,33.5904,34.1582,34.1582,34.1582,34.1582,
CENX    ,0,0,0,0,0,8.74044,8.56845,8.47109,8.43438,8.37305,7.98705,7.92043,8.01922,8.01922,8.01922,8.01922,
CEO     ,0,0,0,0,0,164.933,131.25,119.548,126.016,126.814,132.974,137.399,137.399,137.399,137.399,137.399,
CEPU    ,0,0,0,0,0,10.0017,10.0187,10.0364,10.0724,10.0856,10.0943,10.1403,10.1403,10.1403,10.1403,10.1403,
CEQP    ,0,0,0,0,0,32.61,32.1886,32.2561,30.6725,30.9504,30.0475,31.3503,31.3503,31.3503,31.3503,31.3503,
CERC    ,0,0,0,0,0,5.07217,5.07126,5.07126,5.09176,5.09366,5.0957,5.11164,5.11208,5.11208,5.11208,5.11208,
CERN    ,0,0,0,0,0,52.9947,52.6651,53.0249,53.1197,53.0194,52.5212,52.4869,52.8657,52.8657,52.8658,52.8658,
CERS    ,0,0,0,0,0,5.17454,5.08898,5.05166,5.05508,5.10314,5.12195,5.00693,5.23883,5.23883,5.23883,5.23883,
CET     ,0,0,0,0,0,26.09,26.09,26.0785,26.0474,26.0599,26.1344,26.1435,26.1435,26.1435,26.1435,26.1435,
CETV    ,0,0,0,0,3.05909,3.03585,3.03482,3.01094,3.01094,3.01202,3.01456,2.95611,3.0046,3.0046,3.0046,3.0046,
CETX    ,0,0,0,0,0,0.766012,0.76907,0.766441,0.725583,0.725583,0.725769,0.712644,0.712644,0.712644,0.712644,0.712644,
CETXP   ,0,0,0,0,0,0,0,1.8,1.8,1.8,1.8,1.84,1.84,1.84,1.84,1.84,
CETXW   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CEV     ,0,0,0,0,0,0,0,11.5,11.5,11.4868,11.4868,10.6009,10.6009,10.6009,10.6009,10.6009,
CEVA    ,0,0,0,0,0,27.9363,27.8579,27.4287,27.4838,27.3195,26.91,26.4814,27.1416,27.1416,27.1416,27.1416,
CEW     ,0,0,0,0,0,0,0,0,0,0,18.55,18.55,18.55,18.55,18.55,18.55,
CEY     ,0,0,0,0,0,0,0,23.9213,23.9213,23.9213,23.9254,24.0303,24.0303,24.0303,24.0303,24.0303,
CEZ     ,0,0,0,0,0,0,0,25.37,25.37,25.37,25.37,25.5817,25.5817,25.5817,25.5817,25.5817,
CF      ,0,0,0,0,0,41.5007,40.7947,40.8297,40.9877,40.9189,40.114,40.3006,40.3006,40.3006,40.3006,40.3006,
CFA     ,0,0,0,0,0,47.47,47.4286,47.4183,47.4244,47.4244,47.4276,47.5024,47.5024,47.5024,47.5024,47.5024,
CFBI    ,0,0,0,0,0,0,10.6809,10.6809,10.6745,10.6729,10.6724,10.6787,10.6787,10.6787,10.6787,10.6787,
CFBK    ,0,0,0,0,0,12.59,12.59,12.59,12.59,12.59,12.59,12.8675,12.92,12.92,12.92,12.92,
CFFA    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CFFAU   ,0,0,0,0,0,0,0,0,0,0,10.0802,10.089,10.089,10.089,10.089,10.089,
CFFAW   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CFFI    ,0,0,0,0,0,50.8259,50.815,50.7715,50.7685,50.5222,50.3723,50.1432,50.1585,50.1585,50.1585,50.1585,
CFFN    ,0,0,0,0,13.12,11.0933,11.1975,11.4883,11.6713,11.7358,11.9523,12.0454,12.3527,12.3527,12.3527,12.3527,
CFG     ,0,0,0,0,0,30.9308,31.646,31.9895,32.167,32.2716,32.3808,32.4358,32.4358,32.4358,32.4358,32.4358,
CFG-D   ,0,0,0,0,0,25.46,25.4469,25.4454,25.4453,25.4451,25.4453,25.4455,25.4455,25.4455,25.4455,25.4455,
CFMS    ,0,0,0,0,0,0.555258,0.553247,0.552894,0.552005,0.551319,0.549559,0.549603,0.549603,0.549603,0.549603,0.549603,
CFO     ,0,0,0,0,0,44.7092,44.7093,42.5816,43.1622,43.1622,43.5203,43.6746,43.6798,43.6798,43.6798,43.6798,
CFR     ,0,0,0,0,0,99.2029,97.6361,98.0485,98.2274,98.1115,98.1859,97.8169,97.8169,97.8169,97.8169,97.8169,
CFR-A   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CFRX    ,0,0,0,0,0,0.501739,0.500521,0.500501,0.500479,0.500896,0.50106,0.502318,0.502315,0.502315,0.502315,0.502315,
CFX     ,0,0,0,0,0,23.6162,24.078,24.1391,24.2012,24.0856,24.2103,24.321,24.321,24.321,24.321,24.321,
CFXA    ,0,0,0,0,0,115.62,28.905,30.6122,30.6122,67.0501,77.8991,81.7503,81.7503,81.7503,81.7503,81.7503,
CG      ,0,0,0,0,0,17.4479,17.4467,17.4005,17.3741,17.3505,17.1729,17.0858,17.1675,17.1675,17.1675,17.1675,
CGA     ,0,0,0,0,0,0,0.605712,0.605712,0.605712,0.605712,0.605712,0.605712,0.605712,0.605712,0.605712,0.605712,
CGBD    ,0,0,0,0,0,14.5669,14.6177,14.5712,14.471,14.4369,14.4196,14.4234,14.4474,14.4474,14.4474,14.4474,
CGC     ,0,47.8443,47.8443,47.8179,47.625,47.2027,48.0114,48.2037,48.2339,48.1864,48.2457,48.1013,48.1011,48.101,48.1008,48.1008,
CGEN    ,0,0,0,0,0,3.56169,3.56337,3.56338,3.5202,3.52183,3.53102,3.53474,3.53752,3.53752,3.53752,3.53752,
CGIX    ,0,0,0,0.26,0.255833,0.247717,0.241322,0.241083,0.2392,0.237836,0.238526,0.237909,0.237942,0.237942,0.237942,0.237942,
CGNX    ,0,0,0,0,44,41.0312,40.7639,41.0691,41.2416,41.062,41.2332,41.5907,42.4183,42.4183,42.4198,42.4213,
CGO     ,0,0,0,0,0,11.5275,11.5326,11.5332,11.5319,11.5319,11.5392,11.5408,11.5425,11.5425,11.5425,11.5425,
CGVIC   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CGW     ,0,0,0,0,0,33,33,33,33,33.0003,33.2616,33.2615,33.2615,33.2615,33.2615,33.2615,
CHA     ,0,0,0,0,0,54.65,54.6258,54.5861,54.5755,54.5755,51.8887,51.7193,51.7193,51.7193,51.7193,51.7193,
CHAC=   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CHAD    ,0,0,0,0,0,0,0,0,36.66,36.66,36.6417,36.5517,36.5517,36.5517,36.5517,36.5517,
CHAP    ,0,0,0,0,0,8.02,8.00963,7.92477,7.92485,7.93582,7.93158,7.92661,7.92661,7.92661,7.92661,7.92661,
CHAU    ,0,0,0,0,0,16.84,16.84,16.8143,16.8155,16.8121,16.9996,16.7975,16.7975,16.7975,16.7975,16.7975,
CHCI    ,0,0,0,0,0,1.90667,1.90667,1.90667,1.90667,1.94435,1.94435,1.94435,1.94435,1.94435,1.94435,1.94435,
CHCO    ,0,0,0,0,0,72.07,72.0316,66.1071,67.331,65.2692,63.2766,62.9923,65.5069,65.5069,65.5069,65.5069,
CHCT    ,0,0,0,0,0,32.0225,32.1487,32.1784,32.2152,32.2263,31.5704,31.7556,31.7556,31.7556,31.7556,31.7556,
CHD     ,0,0,0,0,0,60.4399,61.8198,62.0239,61.8746,61.9671,61.6199,61.3885,61.3885,61.3885,61.3885,61.3885,
CHDN    ,0,0,0,0,0,88.5129,86.7288,86.0515,86.0521,85.3576,85.8245,85.1267,86.9252,86.9252,86.9252,86.9252,
CHE     ,0,0,0,0,0,279.316,284.634,286.788,289.152,289.627,289.572,287.974,287.974,287.974,287.974,287.974,
CHEF    ,0,0,0,0,0,32.7138,32.1597,31.9268,31.9659,31.9868,31.9558,31.7936,31.9118,31.9118,31.9118,31.9118,
CHEK    ,0,0,0,0,0,4.00705,3.97462,3.96958,3.7745,3.75441,3.69887,3.66075,3.66025,3.66025,3.66025,3.66025,
CHEKW   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CHEKZ   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CHEP    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CHFC    ,0,0,0,0,0,43.4859,43.1184,43.5596,43.4538,43.3723,43.4285,42.8294,43.0698,43.0698,43.0698,43.0698,
CHFS    ,0,0,0,0,0,8.73076,8.47107,8.43779,8.42571,8.32274,8.32086,8.32055,8.32155,8.32155,8.32155,8.32155,
CHGG    ,0,0,0,0,0,33.9276,33.6168,33.7682,34.0824,34.0714,34.1038,34.1905,34.1905,34.1905,34.191,34.191,
CHGX    ,0,0,0,0,0,0,0,0,0,18.98,18.98,18.98,18.98,18.98,18.98,18.98,
CHH     ,0,0,0,0,0,78.1223,78.2079,78.226,78.2547,78.2347,77.8686,78.2845,78.2845,78.2845,78.2845,78.2845,
CHI     ,0,0,0,0,0,10.1419,10.1453,10.0485,10.05,10.0522,9.90386,9.89988,9.90075,9.90075,9.90075,9.90075,
CHIC    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CHIE    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CHIH    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CHII    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CHIK    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CHIL    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CHIM    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CHIQ    ,0,0,0,0,0,0,14.4725,14.4725,14.4264,14.4264,14.4833,14.4833,14.4833,14.4833,14.4833,14.4833,
CHIR    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CHIS    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CHIU    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CHIX    ,0,0,0,0,0,0,0,0,0,0,15.8996,15.9108,15.9108,15.9108,15.9108,15.9108,
CHK     ,0,0,0,2.85899,2.86203,2.43239,2.51546,2.49838,2.51307,2.50041,2.53786,2.49283,2.49283,2.49283,2.49283,2.49283,
CHK-D   ,0,0,0,0,0,0,0,0,0,49.78,49.78,49.78,49.78,49.78,49.78,49.78,
CHKE    ,0,0,0,0,0,0.840116,0.840116,0.840116,0.840116,0.840116,0.844423,0.841325,0.841325,0.841325,0.841325,0.841325,
CHKP    ,0,0,0,112.018,111.898,110.087,110.027,110.096,110.001,109.371,108.579,108.404,108.693,108.694,108.694,108.694,
CHKR    ,0,0,0,0,0,0,0,0,0,0,0,1.37,1.37,1.37,1.37,1.37,
CHL     ,0,0,0,0,0,47.0378,47.7121,48.7784,47.907,47.8877,47.956,47.6471,47.6471,47.6471,47.6471,47.6471,
CHMA    ,0,0,0,0,0,3.7172,3.7172,3.7172,3.71588,3.66207,3.59936,3.56292,3.56288,3.56288,3.56288,3.56288,
CHMG    ,0,0,0,0,0,42.2,42.2,42.1952,42.2235,42.2552,42.2552,42.2101,41.9317,41.9317,41.9317,41.9317,
CHMI    ,0,0,0,0,0,18.5239,18.3915,18.4458,18.3894,18.3938,18.425,18.4316,18.4316,18.4316,18.4316,18.4316,
CHMI-A  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CHN     ,0,0,0,0,0,18.8904,18.8887,18.8721,18.8697,18.876,18.8968,18.8968,18.8968,18.8968,18.8968,18.8968,
CHNA    ,0,0,0,0,0,0,20.58,20.58,20.58,20.58,20.58,20.58,20.58,20.58,20.58,20.58,
CHNR    ,0,0,0,0,0,0,1.62971,1.68051,1.68051,1.68051,1.68092,1.68092,1.68092,1.68092,1.68092,1.68092,
CHRA    ,0,0,0,0,0,0,6.76201,6.86961,6.90383,6.95395,6.96355,6.45577,6.45577,6.45577,6.45577,6.45577,
CHRS    ,0,0,0,0,0,12.667,12.5204,12.5261,12.4468,12.4309,12.3729,12.0055,12.2955,12.2955,12.2955,12.2955,
CHRW    ,0,0,0,0,0,83.6319,82.8208,82.7588,83.01,82.8298,82.8712,82.6706,83.1131,83.1131,83.1131,83.1131,
CHS     ,0,0,0,0,0,5.24947,5.48374,5.38642,5.41239,5.42345,5.41017,5.32818,5.32818,5.32818,5.32818,5.32818,
CHSCL   ,0,0,0,0,0,27.44,27.5608,27.5653,27.5653,27.5693,27.5704,27.5791,27.5791,27.5791,27.5791,27.5791,
CHSCM   ,0,0,0,0,0,25.8428,25.8063,25.8099,25.8116,25.8116,25.8335,25.8614,25.8607,25.8607,25.8607,25.8607,
CHSCN   ,0,0,0,0,0,26.78,26.6416,26.645,26.6292,26.6193,26.619,26.617,26.6153,26.6153,26.6153,26.6153,
CHSCO   ,0,0,0,0,0,27.44,27.6015,27.6236,27.6236,27.624,27.675,27.7126,27.7126,27.7126,27.7126,27.7126,
CHSCP   ,0,0,0,0,0,28.84,29.0437,29.0363,29.0363,29.0284,29.024,29.025,29.025,29.025,29.025,29.025,
CHSP    ,0,0,0,0,0,27.703,28.0178,27.987,27.976,27.7808,27.6535,27.593,27.593,27.593,27.593,27.593,
CHT     ,0,0,0,0,0,0,34.7523,34.7954,34.7996,34.7982,34.8196,34.9325,34.9325,34.9325,34.9325,34.9325,
CHTR    ,0,0,0,0,0,279.296,280.006,280.393,280.191,279.948,280.818,281.44,283.266,283.266,283.266,283.266,
CHU     ,0,0,0,0,0,11.0662,10.4171,10.5394,9.14531,9.12215,8.69277,8.57128,8.57128,8.57128,8.57128,8.57128,
CHUY    ,0,0,0,0,0,21.5776,18.6224,19.2033,19.585,19.6533,18.9976,19.6264,20.2258,20.2258,20.2258,20.2258,
CHW     ,0,0,0,0,0,7.59407,7.59376,7.59297,7.59329,7.59592,7.6027,7.57977,7.58001,7.58001,7.58001,7.58001,
CHY     ,0,0,0,0,0,10.9165,10.9165,10.9161,10.9217,10.7338,10.7314,10.6742,10.6743,10.6743,10.6743,10.6743,
CI      ,0,0,0,0,0,197.171,194.977,194.733,195.345,195.539,196.123,196.452,196.452,196.452,196.452,196.452,
CIA     ,0,0,0,0,0,7.42115,7.34182,7.34685,7.34649,7.34113,7.31217,7.28648,7.28648,7.28648,7.28648,7.28648,
CIB     ,0,0,0,0,0,27.8912,40.7056,41.4575,41.6683,41.9073,42.1362,42.3382,42.3382,42.3382,42.3382,42.3382,
CIBR    ,0,0,0,0,0,25.3353,25.3039,25.3077,25.309,25.3128,25.4649,25.4756,25.4766,25.4768,25.4768,25.4768,
CIC     ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CIC+    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CIC=    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CID     ,0,0,0,0,0,31.6142,31.6142,31.6142,31.6142,31.6142,31.6142,31.6142,31.6142,31.6142,31.6142,31.6142,
CIDM    ,0,0,0,0,0,1.00507,1.00386,1.00368,1.00438,1.00457,1.00457,1.00467,1.00505,1.00505,1.00505,1.00505,
CIEN    ,0,0,0,38.944,38.8197,35.6856,35.2379,35.0592,34.967,34.9495,35.0736,35.222,35.222,35.222,35.222,35.222,
CIF     ,0,0,0,0,0,0,0,2.3,2.3,2.3,2.3,2.30653,2.30653,2.30653,2.30653,2.30653,
CIFS    ,0,0,0,0,0,1.03117,0.979955,0.964064,0.96297,0.946772,0.945704,0.945219,0.945219,0.945219,0.945219,0.945233,
CIG     ,0,0,0,0,0,2.77732,2.87924,3.05314,3.06959,3.04024,2.96924,2.94942,2.94942,2.94942,2.94942,2.94942,
CIG.C   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CIGI    ,0,0,0,0,0,61.7809,61.7106,61.6605,61.5496,61.4457,61.4774,60.5036,60.7387,60.7387,60.7387,60.7387,
CII     ,0,0,0,0,0,0,0,15.1054,15.1311,15.1311,15.1423,15.1446,15.1446,15.1446,15.1446,15.1446,
CIK     ,0,0,0,0,0,2.95,2.95,2.95,2.95778,2.95935,2.96,2.96044,2.96044,2.96044,2.96044,2.96044,
CIL     ,0,0,0,0,0,0,36.65,36.65,36.65,36.65,36.6885,36.6885,36.6885,36.6885,36.6885,36.6885,
CIM     ,0,0,0,0,0,17.7129,18.0313,18.0105,18.0478,18.2132,17.7883,17.8563,17.8563,17.8563,17.8563,17.8563,
CIM-A   ,0,0,0,0,0,0,0,0,25.249,25.2548,25.2748,25.2748,25.2748,25.2748,25.2748,25.2748,
CIM-B   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
