,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,
ACC     ,0,0,0,0,0,45.1235,45.865,45.6451,45.3336,45.1991,45.3639,45.2772,45.2772,45.2772,45.2772,45.2772,
ACCO    ,0,0,0,0,0,8.19947,8.62526,8.56877,8.59089,8.57928,8.5923,8.62944,8.62944,8.62944,8.62944,8.62944,
ACER    ,0,0,0,0,0,23.0599,22.861,22.1599,22.8122,22.8295,23.0241,23.1072,23.131,23.131,23.131,23.131,
ACES    ,0,0,0,0,0,0,0,0,0,25.06,25.06,25.06,25.06,25.06,25.06,25.06,
ACET    ,0,0,0,0,0,1.20475,1.19961,1.19713,1.1958,1.19492,1.19047,1.19186,1.19224,1.19224,1.19224,1.19224,
ACGL    ,0,0,0,0,0,28.1464,27.694,27.85,27.9883,28.0458,28.0071,27.6925,28.1258,28.1258,28.1258,28.1258,
ACGLO   ,0,0,0,0,0,22.7002,22.765,22.751,22.7351,22.7313,22.7359,22.7517,22.7517,22.7517,22.7517,22.7517,
ACGLP   ,0,0,0,0,0,22.1074,22.1712,22.1685,22.1684,22.1681,22.159,22.1628,22.163,22.163,22.163,22.163,
ACH     ,0,0,0,0,0,8.9803,8.98436,8.98628,8.98628,8.9902,8.99844,9.08929,9.08929,9.08929,9.08929,9.08929,
ACHC    ,0,0,0,0,0,26.6284,26.7687,26.9257,26.8984,26.8738,26.962,26.7228,26.813,26.813,26.813,26.813,
ACHN    ,0,0,0,0,0,2.08156,1.96887,1.97857,1.99194,2.01139,1.99053,1.99115,2.05562,2.05562,2.05562,2.05562,
ACHV    ,0,0,0,0,0,1.41023,1.41023,1.43427,1.44087,1.44087,1.44274,1.45285,1.45314,1.45314,1.45314,1.45314,
ACIA    ,0,0,0,0,0,42.0083,42.1763,42.0776,42.1215,42.2495,42.3163,41.9648,42.182,42.182,42.182,42.182,
ACIM    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ACIU    ,7.01,6.94538,6.90667,6.47627,5.58293,3.83814,3.79731,3.83886,3.90902,3.91442,3.9094,3.84892,3.84749,3.84751,3.84746,3.84746,
ACIW    ,0,0,0,0,0,27.7311,27.6711,27.4534,27.5696,27.6174,27.4747,26.9306,27.3819,27.3819,27.3819,27.3819,
ACLS    ,0,0,0,0,0,20.5735,19.9272,19.7451,19.5832,19.5842,19.8585,19.9033,20.1249,20.1249,20.1249,20.1249,
ACM     ,0,0,0,0,0,29.7014,29.8707,29.8173,29.8951,29.8067,29.8637,29.7893,29.7893,29.7893,29.7893,29.7893,
ACMR    ,0,0,0,0,0,9.55106,9.53217,9.45253,9.43456,9.43342,9.43152,9.42363,9.45325,9.45325,9.45325,9.45325,
ACN     ,0,0,0,0,0,144.628,147.052,147.974,147.021,147.207,146.116,146.704,146.704,146.704,146.704,146.704,
ACNB    ,0,0,0,0,0,37.2411,37.2411,37.2411,37.0415,37.0426,37.0426,37.0601,37.2115,37.2115,37.2115,37.2115,
ACOR    ,0,0,0,0,0,15.5723,14.9516,14.8924,14.7921,14.785,14.8257,15.0917,15.5182,15.5182,15.5182,15.5182,
ACP     ,0,0,0,0,0,11.501,11.476,11.4799,11.4868,11.4905,11.5354,11.5366,11.5366,11.5366,11.5366,11.5366,
ACRE    ,0,0,0,0,0,14.2848,14.2976,14.3051,14.3129,14.3148,13.7677,13.8628,13.8628,13.8628,13.8628,13.8628,
ACRS    ,0,0,0,0,0,6.76941,6.75963,6.73139,6.73484,6.73527,6.65032,6.52002,6.79536,6.79536,6.79536,6.79536,
ACRX    ,0,0,0,0,0,2.32803,2.30169,2.34208,2.32139,2.28532,2.293,2.25637,2.26217,2.26217,2.26217,2.26217,
ACSG    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ACSI    ,0,0,0,0,0,0,30.885,30.885,30.885,30.885,30.885,30.885,30.885,30.885,30.885,30.885,
ACST    ,0,0,0,0,0,1.03924,1.03126,1.03116,1.03113,1.03111,1.03107,1.03215,1.03285,1.03285,1.03285,1.03285,
ACT     ,0,0,0,0,0,22.6764,22.781,22.8192,22.8235,22.8303,22.8568,22.9028,22.9028,22.9028,22.9028,22.9028,
